economy,Year,Edu_Spending_GDP,GDP_per_Capita,Health_Spending_GDP,Internet_Usage,Learning_Outcome,Unemployment_Rate,Population_Total,Inflation_Rate,Trade_Openness_GDP
ABW,2004,5.35763451174631,23700.6319899197,,23.0,95.4701385498047,,95138.0,2.52912946932762,132.430929795173
ABW,2005,5.68507247415808,24171.8371325422,,25.4,94.4293518066406,,97635.0,3.39778677828806,145.050280144237
ABW,2006,5.00753623707908,24845.65848362,,28.0,99.4612808227539,,99405.0,3.60802438784541,141.042626734626
ABW,2007,4.33,26736.3089444046,,30.9,97.3307266235352,,100150.0,5.39256784475517,139.972309491093
ABW,2008,4.53,28171.9094008501,,52.0,100.205062866211,,100917.0,8.95598705177784,139.110149824701
ABW,2009,5.53,25134.7712303589,,58.0,97.5935821533203,,101604.0,-2.13542872046937,137.556575933708
ABW,2010,6.58,24093.1401510626,,62.0,99.1608428955078,,101838.0,2.07814071860787,135.464654677581
ABW,2011,5.77,25712.3843015186,,69.0,,,102591.0,4.31629742195203,154.437786862887
ABW,2012,6.85329277507097,25119.6655449838,,74.0,,,104110.0,0.627471992893373,156.645197205944
ABW,2013,6.85603483098155,25813.5714408438,,78.9,94.0547790527344,,105675.0,-2.37206524252261,155.731904417046
ABW,2014,6.07489369322377,26129.8390617693,,83.78,101.321281433105,,106807.0,0.421440918881214,156.491052766236
ABW,2015,6.14706311263524,27458.2201537506,,88.6612,,,107906.0,0.474763597342641,140.493001133496
ABW,2016,5.75208403362842,27441.5502144601,,93.5425,,,108727.0,-0.931195987079561,136.887263320827
ABW,2017,5.75208403362842,28440.0416881491,,97.17,,,108735.0,-1.02828178762012,138.716620095236
ABW,2018,5.75208403362842,30082.1584226798,,,96.1325988769531,,108908.0,3.62604141352961,138.824972245657
ABW,2019,5.75208403362842,30645.8906024548,,,101.90274810791,,109203.0,4.25746204335428,137.9619293134
ABW,2020,5.75208403362842,22759.8071750722,,,104.266471862793,,108587.0,,122.723738046404
ABW,2021,5.75208403362842,26749.3296093118,,,95.7777786254883,,107700.0,,139.917797708768
ABW,2022,,30975.9989121779,,,93.8329391479492,,107310.0,,160.634546418015
ABW,2023,,35718.7531191634,,,,,107359.0,,159.018596924652
ABW,2024,,39498.5941293797,,,,,107995.0,,160.365278789947
AFE,2004,4.4321245865164,989.015463629244,6.06992747717164,,55.4729194641113,7.27852246959678,450928044.0,5.02342068616285,55.9014690795976
AFE,2005,4.36350731333545,1126.2973233912,5.90898113167837,1.8,57.7194213867188,7.10041371887931,463076637.0,8.55803802239778,58.6583006346614
AFE,2006,4.2992256955429,1235.26660811771,5.91115801457884,1.9,59.8370513916016,7.03560059961336,475606210.0,8.89816380214033,59.2211968534177
AFE,2007,4.1640000181284,1381.5525968929,5.92511439500902,2.7,61.481861114502,6.98058891496815,488580707.0,8.45077480635,64.926552245923
AFE,2008,4.10314831237036,1447.54575437552,5.80185375223004,3.0,64.5043869018555,6.95926232871186,502070763.0,12.5666446595157,72.1139529810406
AFE,2009,4.32960719606398,1408.75346659428,6.31345663525453,3.5,68.0193099975586,7.0293349336202,516003448.0,8.95421802392949,60.8267897293719
AFE,2010,4.55562459988066,1628.90524793139,6.3598728238239,5.3,67.7394180297852,7.33948885318777,530308387.0,5.53753791645676,61.1440016011495
AFE,2011,4.75980345783571,1761.98926096159,6.27098425337699,6.8,66.6150817871094,7.303350943492,544737983.0,8.97120640995788,63.0683921534385
AFE,2012,4.88305553991164,1732.03802145335,6.07553235436947,8.4,66.2546463012695,7.10873740350119,559609961.0,9.15870843167905,61.0262151920067
AFE,2013,4.57609743651422,1706.02274412621,6.06326573940287,10.0,65.8006210327148,6.88972223038428,575202699.0,5.74883133553454,61.4749476479476
AFE,2014,4.54618581146875,1690.16679245944,5.71333425759159,12.1,66.1218338012695,6.86242857576034,590968990.0,5.52581923392517,59.8998848247145
AFE,2015,4.39107533951842,1498.8752400759,5.89167008074868,14.3,65.9160919189453,6.9309412585873,607123269.0,5.09856164363687,54.919335043677
AFE,2016,4.29282745861213,1334.47050032928,6.01403640033509,16.3,66.3104476928711,7.07442880999326,623369401.0,6.44687722255584,52.9532018565789
AFE,2017,4.33402124466182,1528.10422421284,5.86588226298921,17.3,67.4052124023438,7.21491501896869,640058741.0,6.22137528933118,51.8332071754235
AFE,2018,4.40840928276843,1552.07372194919,5.73062852507169,19.6,68.8943099975586,7.24484282680542,657801085.0,4.6898064677633,55.0220378948386
AFE,2019,4.49946959886637,1507.08559963484,5.7558901923726,21.6,69.6575927734375,7.45910636823544,675950189.0,4.10285075461156,53.528129184284
AFE,2020,4.51329848512701,1351.59166910879,5.98459697196561,23.5,70.800651550293,7.97430164130982,694446100.0,5.19162942092851,49.5217047765169
AFE,2021,4.71014914330022,1562.41617477738,5.94259456421002,25.0,71.7907333374023,8.40741154700022,713090928.0,6.82472709282067,54.5012645153596
AFE,2022,,1679.32762166466,5.55902129039591,26.8,71.0935134887695,7.86947018999245,731821393.0,10.8834775726018,57.1527762711517
AFE,2023,,1571.44918918981,5.54080975848282,27.8,70.4420471191406,7.67654773372157,750491370.0,7.39918558080627,56.1705277452305
AFE,2024,,1615.39635562849,,28.8,70.5337371826172,7.57169749274654,769280888.0,4.48978854243448,54.422178323254
AFG,2004,2.57198097195837,221.763653873013,9.80847359,0.105809,,7.794,23560654.0,,
AFG,2005,2.6161619252292,254.184249149336,9.94828892,1.22415,,7.878,24404567.0,12.6862687216715,
AFG,2006,2.66034287850003,274.218553561575,10.62276554,2.10712,,7.897,25424094.0,6.78459655001655,
AFG,2007,2.70452383177087,376.223152003876,9.90467453,1.9,,7.841,25909852.0,8.68057078513406,
AFG,2008,2.74870478504171,381.73323802844,10.25649548,1.84,,7.879,26482622.0,26.4186641547444,
AFG,2009,2.79288573831254,452.053705477043,9.81848717,3.55,,7.808,27466101.0,-6.81116108898996,
AFG,2010,2.83706669158337,560.621505463146,8.56967163,4.0,,7.809,28284089.0,2.17853752389419,
AFG,2011,2.86361121097898,606.694676337726,8.56190777,5.0,,7.83,29347708.0,11.8041858089129,
AFG,2012,2.81498738021123,651.417134470046,7.89716864,5.45455,,7.875,30560034.0,6.44121280934117,
AFG,2013,2.79347880461878,637.087099117099,8.80596447,5.9,,7.921,31622704.0,7.38577178397855,
AFG,2014,2.98227346742941,625.054941813938,9.52887821,7.0,,7.915,32792523.0,4.67399603536345,
AFG,2015,2.59444730376298,565.569730408751,10.10534763,8.26,,9.032,33831764.0,-0.661709164713742,
AFG,2016,2.59444730376298,522.082215583898,11.81859016,11.0,83.4359664916992,10.116,34700612.0,4.38389195513915,
AFG,2017,2.59444730376298,525.469770891619,12.62081718,13.5,88.2425765991211,11.184,35688935.0,4.97595150553833,
AFG,2018,2.59444730376298,491.337221382603,14.20841885,16.8,89.8436279296875,11.192,36743039.0,0.626149149168847,
AFG,2019,2.59444730376298,496.6025042585,14.83131981,17.6,88.8901214599609,11.187,37856121.0,2.30237251516834,
AFG,2020,2.59444730376298,510.787063366811,15.53361416,17.0485,,11.71,39068979.0,5.60188791482224,46.7098945514103
AFG,2021,2.59444730376298,356.496214115892,21.50844383,16.5143,,12.006,40000412.0,5.13320340824963,51.4117163747271
AFG,2022,,357.261152798144,23.0881691,17.1917,,14.1,40578842.0,13.7121023720065,72.8854696086536
AFG,2023,,413.757894705303,14.9857626,17.7089,,14.008,41454761.0,-4.64470870797775,67.5846651516385
