Country,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Domestic credit to private sector (% of GDP),Employment in services (% of total employment) (modeled ILO estimate),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (constant 2015 US$),Individuals using the Internet (% of population),"Industry (including construction), value added (% of GDP)","Services, value added (% of GDP)"
ABW,2004,0.6671340765426543,-2.1182396562043415,0.29905470616861485,1.2541005668925307,-2.2885495951500436,1.1332179668229017,-0.6571114442572724,-1.0136441509703547,1.5364786746387593
ABW,2005,0.6671340765426543,-2.118485363340932,0.3467380275684828,1.2420941406596226,-2.2885495951500436,1.1122705249573488,-0.579714777460963,-0.9148007604417506,1.4815168959808096
ABW,2006,0.6671340765426543,-2.1182999795671114,0.343108895721708,1.2480820026287591,1.5088066418818542,1.1075133935195605,-0.49586838843162767,-0.7341601478632301,1.37189134115034
ABW,2007,0.6671340765426543,-2.117959135994858,0.29781316058429524,1.2397565294597848,-2.2885495951500436,1.1236826966661473,-0.40234741605275376,-0.7568493132108359,1.2658455501650172
ABW,2008,0.6671340765426543,-2.1188258483129956,0.27467630052784137,1.2480820026287591,-0.8512126645564415,1.1311203177653328,0.2780982795314671,-0.9307550547445881,1.3349713728226351
ABW,2009,0.6671340765426543,-2.115831187928821,0.383724324126216,1.243050109135849,-1.1598719103666248,1.0388962493855889,0.4715899465222408,-1.4128313944651985,1.4951056881127347
ABW,2010,0.45665944564758326,-2.1152298465195614,0.4400380272516784,0.6267495204384166,1.1346943234223115,1.0177593267786051,0.6005843911827565,-1.6821643316522088,1.659433451766125
ABW,2011,0.6671340765426543,-2.115329682346507,0.39079939703325717,1.246558511547438,2.103680874901749,1.0359067831655018,0.8263246693386592,-1.5308174715896432,1.5938151348624658
ABW,2012,0.6671340765426543,-2.114227073450434,0.43786790774613704,1.257067995462803,-2.2885495951500436,1.0181888610746486,0.9875677251643039,-1.9799328671915681,1.7168724646323092
ABW,2013,0.6671340765426543,-2.117980901438662,0.44687594080402104,1.252036101969893,1.8100845424626764,1.0515754911978301,1.145585919873436,-1.8388664471732046,1.7535565779777946
ABW,2014,0.6671340765426543,-2.1210798826543513,0.4669192184668878,1.2541005668925307,1.092841587371998,1.0540438092438622,1.302959142359265,-1.8287537642105314,1.7562779265958628
ABW,2015,0.6671340765426543,-2.1234513658022576,0.39820407761517085,1.2541005668925307,-1.3004009578445619,1.0718185058036591,1.4603710631784923,-1.5125861457073722,1.6938542440458286
ABW,2016,0.6671340765426543,-2.1171631588429185,0.40981054753462715,1.242776962858649,-0.7771155059640384,1.0751198870155052,1.6177862088588366,-1.4695153199494846,1.6702607549119373
ABW,2017,0.6671340765426543,-2.1117159568890367,0.4102878675287416,1.258564937780346,0.4605869586785073,1.0992489240132413,1.7347680458603416,-1.5257496999935514,1.685127043804108
ABW,2018,0.6671340765426543,-2.1134225407923197,0.3851544324320986,1.2480820026287591,0.21660167680362358,1.1203959536773462,0.7957091278429325,-1.7182217220354499,1.7277616078126337
ABW,2019,0.6671340765426543,-2.1173560646385114,0.45595964702447245,1.2397565294597848,-1.6835961170122158,1.1270659124657467,0.6877207835231582,-1.6664565999413383,1.622958737084061
ABW,2020,0.6671340765426543,-2.113989161664451,0.811694409621727,1.2450615692298947,0.8218408661599343,0.9387356289914348,0.7957091278429325,-1.4874188602799383,1.5806742275799044
ABW,2021,0.6671340765426543,-2.1055097542943892,0.6122304775250996,1.242776962858649,0.28397908222309465,1.0412801590997678,0.7957091278429325,-1.7869935435259432,1.651632987375798
ABW,2022,0.6640489082703959,-2.1012278087822116,0.472276720904748,1.242776962858649,1.09286436120294,1.1150149918501806,0.7958187731208938,-2.0544618009829003,1.6860337629611957
ABW,2023,0.6671340765426543,-0.9389785719347155,0.3998702603550606,1.2412800205411059,-2.0657012835131154,1.1669753782301073,1.31173656934619,0.3672733060267211,0.16365912655662135
ABW,2024,0.665110617299822,-0.8528703495549514,1.3992167154982602,1.124553398984672,-0.34917275240270346,1.209215072294517,0.5739683224437291,-0.5455878323104144,1.0940085011994767
AFE,2004,-2.033293920940481,0.38208664272298437,0.7808990022904628,-1.5768427526611932,-0.5191350195943688,-1.0914725276543042,-1.232426667443173,0.2265783845198137,-0.041004665048454875
AFE,2005,-2.033293920940481,0.3737633558998664,0.8546117837906522,-1.5617700632676097,-0.46311029954120936,-1.0680250618788334,-1.3407820009580063,0.3046156107903733,-0.14195052352433551
AFE,2006,-2.033293920940481,0.40194133197830595,0.9675522841857275,-1.5315460871273148,-0.6818622885721407,-1.0415888470754662,-1.3375571398414932,0.3111703211970865,-0.20495556925622999
AFE,2007,-2.033293920940481,0.4832918599857886,0.9552268851517994,-1.5032282742187704,-0.34434373985176864,-1.0148918965266458,-1.31175825090939,0.41863285354343976,-0.4142238525898415
AFE,2008,-2.033293920940481,0.5836743358639077,0.7566953339555941,-1.4798833835450458,-0.13866835164776592,-1.003503711310583,-1.3020836675598513,0.5147868305969997,-0.5528201298246636
AFE,2009,-2.033293920940481,0.6044604194889281,0.7771920923453939,-1.4599468913640443,-0.30177404950796266,-1.016325508518437,-1.2859593619772869,0.21011121243810685,-0.0960739302644191
AFE,2010,-2.033293920940481,0.5119873969132941,0.8454028185884642,-1.3955125978925849,-0.56081375037045,-0.9991733294782461,-1.2279118618800549,0.2632977201733825,-0.05440195128414739
AFE,2011,-2.033293920940481,0.41412407177380617,0.7313117514263499,-1.3648566529970991,-0.521980621190739,-0.9899407667923614,-1.1795389451323615,0.36924562910802766,-0.06123415436874821
AFE,2012,-2.033293920940481,0.48078108435556344,0.7726620875597277,-1.3249244746479762,-0.29604154780919417,-0.9956700461279717,-1.1279411672681552,0.3574130883959742,-0.07727826099629481
AFE,2013,-2.033293920940481,0.5103524011848345,0.7177452467622053,-1.3443182785995278,-0.41781316477145025,-0.9849998042026805,-1.0763433894039487,0.30363387074123627,-0.06481039446894042
