Country,Year,Agri_GDP,Credit_Private,Elec_Access,Emp_Services,FDI_GDP,GDPC_2015,Indus_GDP,Internet_Usage,Serv_GDP
ABW,2004,0.0014283931157615,0.596288247713344,1.0,0.9070760765675656,0.0,0.6936817281669146,0.281120751621256,0.23,0.7964445933283077
ABW,2005,0.0013725025958358,0.6060566281212814,1.0,0.9042974448234712,0.0,0.6893638623592301,0.30228412215240485,0.254,0.7857668186326537
ABW,2006,0.0014146714788744,0.6053131660597237,1.0,0.9042974448234712,0.8645621542230044,0.6883832817561321,0.3409611059803384,0.28,0.7644691640816492
ABW,2007,0.0014922024970244,0.5960339053310313,1.0,0.9042974448234712,0.0,0.6917162367603201,0.33610312599072123,0.309,0.7438669730461179
ABW,2008,0.0012950531477671,0.5912941002201129,1.0,0.903485499776478,0.3272453347778568,0.6932493428092977,0.29886814623243435,0.52,0.7572964867556964
ABW,2009,0.0019762426654786,0.6136336215867098,1.0,0.9070760765675656,0.2569714163405705,0.6742393293643004,0.19565072170616007,0.58,0.7884067998034557
ABW,2010,0.0021130286151371,0.6251700175037673,0.9172628371418519,0.810200758577176,0.7793862234492419,0.6698824061662246,0.1379838133226214,0.62,0.820331800765515
ABW,2011,0.0020903191556048,0.615083017340632,1.0,0.9083038150821714,1.0,0.6736231150285458,0.17038870818813195,0.6900000000000001,0.8075837125319488
ABW,2012,0.0023411274362732,0.6247254479511758,1.0,0.903485499776478,0.0,0.6699709454476329,0.07422855547041982,0.74,0.8314908435239897
ABW,2013,0.0014872515542577,0.6265708289157017,1.0,0.9070760765675656,0.9331555266871934,0.67685288308794,0.10443230405072929,0.789,0.838617699800797
ABW,2014,0.0007823323818305,0.6306768843473466,1.0,0.9046500244002982,0.7698574119864363,0.6773616739064973,0.10659753184652368,0.8378,0.8391463935243554
ABW,2015,0.0002428957664733,0.616599936351303,1.0,0.9070760765675656,0.2249764997631897,0.6810255463263427,0.17429221962027935,0.886612,0.8270189472477262
ABW,2016,0.0016732618569119,0.6189776317390837,1.0,0.9070760765675656,0.3441153872711471,0.6817060552469191,0.18351411943292234,0.935425,0.8224352898878744
ABW,2017,0.0029123261900334,0.6190754152646842,1.0,0.9042974448234712,0.6259089937500782,0.6866797386443276,0.1714737693893085,0.9717,0.8253234584884397
ABW,2018,0.0025241329003519,0.6139265928300354,1.0,0.9070760765675656,0.5703597042629975,0.6910387451954275,0.13026356102263612,0.7057692,0.833606346703605
ABW,2019,0.0016293819543499,0.6284317122449314,1.0,0.9071392904583511,0.1377326354485889,0.6924136141257696,0.14134699769563042,0.6805064,0.8132456257003455
ABW,2020,0.0023952447631019,0.7013073505889275,1.0,0.9046500244002982,0.7081573889435042,0.6535933659644647,0.17968079020568267,0.7057692,0.8050307448026308
ABW,2021,0.0043240389086475,0.6604452732591326,1.0,0.9055251833380766,0.5856998385931245,0.6747307212158461,0.11553881784535548,0.7057692,0.818816354880844
ABW,2022,0.0052980446469015,0.6317744195087629,0.9987872264286617,0.9046500244002982,0.7698625970128363,0.689929575339027,0.05827115626868998,0.7058032000000001,0.8254996125924011
ABW,2023,0.1552673545605927,0.6169412696803279,1.0,0.903485499776478,0.050736934948293,0.7006400944154832,0.49105270697495135,0.8545598000000002,0.5211798017135575
ABW,2024,0.2907004362159102,0.8039649110805402,0.9992045821570084,0.8776361328603948,0.441547149215162,0.7093469012847121,0.38019275202248987,0.6117466,0.7099030062664695
AFE,2004,0.570172707058236,0.6949986194687414,0.0,0.25245550419299306,0.4028510315249486,0.2351095034323774,0.5466649515853768,0.0516,0.4899768606853217
AFE,2005,0.5682794253469683,0.7100993815272967,0.0,0.255943757267259,0.4156064459858157,0.2399426955423528,0.5633735117223242,0.018,0.47036546601098117
AFE,2006,0.574689014239384,0.7332363136648502,0.0,0.26293845309989583,0.3658021402868135,0.2453919541542969,0.5647769415755473,0.019,0.4581250746073233
AFE,2007,0.5931936591172638,0.7307113388328043,0.0,0.26949200803328205,0.4426465934687961,0.2508949578472567,0.5877857576238324,0.027,0.41746919273914534
AFE,2008,0.6160274638089319,0.690040268569066,0.0,0.2748946859850809,0.4894736872668994,0.2532423879473912,0.6083732975042979,0.03,0.39054321148261006
AFE,2009,0.6207556334386058,0.6942392238264425,0.0,0.27950856266790175,0.4523386373253435,0.250599449486829,0.5431391633409467,0.035,0.47927820389164805
AFE,2010,0.5997209765598099,0.7082128377082524,0.0,0.29442050813568654,0.3933618366704742,0.2541350032733137,0.5545269330687943,0.053,0.48737408458434833
AFE,2011,0.5774601981404229,0.6848402010615493,0.0,0.30151517394043226,0.4022031598761878,0.2560380980280122,0.5772114529116809,0.068,0.48604674898870953
AFE,2012,0.5926225379144479,0.6933112094034312,0.0,0.3107566264941991,0.4536437832501431,0.2548571299888272,0.5746779861611487,0.084,0.4829297582372246
AFE,2013,0.5993490672916955,0.682060973975959,0.0,0.306268343448672,0.4259194600861948,0.2570565714798049,0.5631633112393779,0.1,0.48535197005360514
AFE,2014,0.6139071883402293,0.6775432774184993,0.0,0.3192612183800487,0.4636715224474067,0.2587123134510395,0.5516748836577633,0.121,0.48025845699762026
AFE,2015,0.6268152949346488,0.6507779542569493,0.0,0.32903676984542357,0.4887323129210663,0.2589951607203179,0.5083826984205032,0.143,0.4935682931674738
AFE,2016,0.6246167893419327,0.6516165509478694,0.0,0.3395929282399971,0.417087089234049,0.2582219738202108,0.5058041323668369,0.163,0.4893804151755458
AFE,2017,0.6172227844464533,0.6505934573624353,0.0,0.35067694578934683,0.3543783799822048,0.2582223193757308,0.5184674091760907,0.173,0.4909845644196212
AFE,2018,0.6087359332256171,0.6377516445766391,0.0,0.3663500338134896,0.3709207359458761,0.2581280099791766,0.5333451072702313,0.196,0.4869905409683184
AFE,2019,0.6257695598996268,0.6317788639990723,0.020797075888422174,0.38446616210340157,0.3829758536909706,0.2570952514152783,0.5307110912160106,0.216,0.46631815909241475
AFE,2020,0.6544036482907573,0.6131624056540853,0.07078104684562755,0.3569656494851426,0.3763247264537747,0.2490334523459377,0.5126560366985744,0.235,0.45102134628554075
AFE,2021,0.6386581232166938,0.5865004379114319,0.11764161532336873,0.35266521292916236,0.6044968001779147,0.2516845445566406,0.5290005549274044,0.25,0.41867691035231663
AFE,2022,0.6459407935626308,0.5614405442227116,0.13432528448985107,0.3676226216349491,0.3976701903034263,0.2532255792271428,0.5361332133524818,0.268,0.3852608948635974
